textDisplay,likeCount,remove_user,cleaning,tokenized_Content
Absolute cinema,2.0,Absolute cinema,Absolute cinema,"['""Absolute""', '""cinema""']"
"<a href=""https://www.youtube.com/watch?v=GPR7sTZUBMI&amp;t=154"">2:34</a> gw tau nih dari anime mana nih sedih nya🗿",2.0,"<a href=""https://www.youtube.com/watch?v=GPR7sTZUBMI&amp;t=154"">2:34</a> gw tau nih dari anime mana nih sedih nya🗿", a href gw tau nih dari anime mana nih sedih nya ,"['""<""', '""a""', '""href=""', '""\'\'""', '""https""', '"":""', '""//www.youtube.com/watch""', '""?""', '""v=GPR7sTZUBMI""', '""&""', '""amp""', '"";""', '""t=154""', '""\'\'""', '"">""', '""2:34""', '""<""', '""/a""', '"">""', '""gw""', '""tau""', '""nih""', '""dari""', '""anime""', '""mana""', '""nih""', '""sedih""', '""nya🗿""']"
Anime apa?,0.0,Anime apa?,Anime apa ,"['""Anime""', '""apa""', '""?""']"
@@andysanjaya2120 dukun baik,0.0,andysanjaya2120 dukun baik,andysanjaya dukun baik,"['""@""', '""@""', '""andysanjaya2120""', '""dukun""', '""baik""']"
Kakek kayak pak seoharto,0.0,Kakek kayak pak seoharto,Kakek kayak pak seoharto,"['""Kakek""', '""kayak""', '""pak""', '""seoharto""']"
Aapaan gw nonton gini aja terharu kocak,0.0,Aapaan gw nonton gini aja terharu kocak,Aapaan gw nonton gini aja terharu kocak,"['""Aapaan""', '""gw""', '""nonton""', '""gini""', '""aja""', '""terharu""', '""kocak""']"
Watashi namaewa Anthony El gassing,0.0,Watashi namaewa Anthony El gassing,Watashi namaewa Anthony El gassing,"['""Watashi""', '""namaewa""', '""Anthony""', '""El""', '""gassing""']"
"Behh kakek penyelamat, ini Indonesia udh bisa bikin anime 😂😂",0.0,"Behh kakek penyelamat, ini Indonesia udh bisa bikin anime 😂😂",Behh kakek penyelamat ini Indonesia udh bisa bikin anime ,"['""Behh""', '""kakek""', '""penyelamat""', '"",""', '""ini""', '""Indonesia""', '""udh""', '""bisa""', '""bikin""', '""anime""', '""😂😂""']"
siapa sangka BNI sedang memasak 😱🔥🔥,2.0,siapa sangka BNI sedang memasak 😱🔥🔥,siapa sangka BNI sedang memasak ,"['""siapa""', '""sangka""', '""BNI""', '""sedang""', '""memasak""', '""😱🔥🔥""']"
BNI lebih cepat daripada anime Genshin 😂,0.0,BNI lebih cepat daripada anime Genshin 😂,BNI lebih cepat daripada anime Genshin ,"['""BNI""', '""lebih""', '""cepat""', '""daripada""', '""anime""', '""Genshin""', '""😂""']"
this is some insanity from BNI,0.0,this is some insanity from BNI,this is some insanity from BNI,"['""this""', '""is""', '""some""', '""insanity""', '""from""', '""BNI""']"
2011 kita dapet Indonesia reference di Nichijou.<br>2024 kita dapet Nichijou reference di anime Indonesia,0.0,2011 kita dapet Indonesia reference di Nichijou.<br>2024 kita dapet Nichijou reference di anime Indonesia, kita dapet Indonesia reference di Nichijou kita dapet Nichijou reference di anime Indonesia,"['""2011""', '""kita""', '""dapet""', '""Indonesia""', '""reference""', '""di""', '""Nichijou.""', '""<""', '""br""', '"">""', '""2024""', '""kita""', '""dapet""', '""Nichijou""', '""reference""', '""di""', '""anime""', '""Indonesia""']"
"Kenapa yang kaya gini ga muncul di iklan, malah pinjol mulu pinjol mulu yang muncul",2.0,"Kenapa yang kaya gini ga muncul di iklan, malah pinjol mulu pinjol mulu yang muncul",Kenapa yang kaya gini ga muncul di iklan malah pinjol mulu pinjol mulu yang muncul,"['""Kenapa""', '""yang""', '""kaya""', '""gini""', '""ga""', '""muncul""', '""di""', '""iklan""', '"",""', '""malah""', '""pinjol""', '""mulu""', '""pinjol""', '""mulu""', '""yang""', '""muncul""']"
Bolehkah saya ambil clip buat meme 😅,0.0,Bolehkah saya ambil clip buat meme 😅,Bolehkah saya ambil clip buat meme ,"['""Bolehkah""', '""saya""', '""ambil""', '""clip""', '""buat""', '""meme""', '""😅""']"
Juman rupiah 😂,0.0,Juman rupiah 😂,Juman rupiah ,"['""Juman""', '""rupiah""', '""😂""']"
What a cinema😮,2.0,What a cinema😮,What a cinema ,"['""What""', '""a""', '""cinema😮""']"
Liat nggak kok aku liat sekilas di hp kakeknya ada ff?,0.0,Liat nggak kok aku liat sekilas di hp kakeknya ada ff?,Liat nggak kok aku liat sekilas di hp kakeknya ada ff ,"['""Liat""', '""nggak""', '""kok""', '""aku""', '""liat""', '""sekilas""', '""di""', '""hp""', '""kakeknya""', '""ada""', '""ff""', '""?""']"
CUBANGETT,0.0,CUBANGETT,CUBANGETT,"['""CUBANGETT""']"
Anjir Keren Banget,0.0,Anjir Keren Banget,Anjir Keren Banget,"['""Anjir""', '""Keren""', '""Banget""']"
lanjut bang sampe 12 episode tanggung 1 doang mah,4.0,lanjut bang sampe 12 episode tanggung 1 doang mah,lanjut bang sampe episode tanggung doang mah,"['""lanjut""', '""bang""', '""sampe""', '""12""', '""episode""', '""tanggung""', '""1""', '""doang""', '""mah""']"
